date,game_id,home_team,away_team,winner
2025-10-07,1,Florida Panthers,Chicago Blackhawks,Florida Panthers
2025-10-07,2,New York Rangers,Pittsburgh Penguins,Pittsburgh Penguins
2025-10-07,3,Los Angeles Kings,Colorado Avalanche,Colorado Avalanche
2025-10-08,4,Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs
2025-10-08,5,Washington Capitals,Boston Bruins,Boston Bruins
2025-10-08,6,Edmonton Oilers,Calgary Flames,Calgary Flames
2025-10-08,7,Vegas Golden Knights,Los Angeles Kings,Los Angeles Kings
2025-10-09,8,Boston Bruins,Chicago Blackhawks,Boston Bruins
2025-10-09,9,Buffalo Sabres,New York Rangers,New York Rangers
2025-10-09,10,Detroit Red Wings,Montreal Canadiens,Montreal Canadiens
2025-10-09,11,Tampa Bay Lightning,Ottawa Senators,Ottawa Senators
2025-10-09,12,Florida Panthers,Philadelphia Flyers,Florida Panthers
2025-10-09,13,Pittsburgh Penguins,New York Islanders,Pittsburgh Penguins
2025-10-09,14,Carolina Hurricanes,New Jersey Devils,Carolina Hurricanes
2025-10-09,15,St. Louis Blues,Minnesota Wild,Minnesota Wild
2025-10-09,16,Nashville Predators,Columbus Blue Jackets,Nashville Predators
2025-10-09,17,Winnipeg Jets,Dallas Stars,Dallas Stars
2025-10-09,18,Colorado Avalanche,Utah Mammoth,Colorado Avalanche
2025-10-09,19,Vancouver Canucks,Calgary Flames,Vancouver Canucks
2025-10-09,20,San Jose Sharks,Vegas Golden Knights,Vegas Golden Knights
2025-10-09,21,Seattle Kraken,Anaheim Ducks,Seattle Kraken
2025-10-11,22,Winnipeg Jets,Los Angeles Kings,Winnipeg Jets
2025-10-11,23,Calgary Flames,St. Louis Blues,St. Louis Blues
2025-10-11,24,Boston Bruins,Buffalo Sabres,Boston Bruins
2025-10-11,25,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings
2025-10-11,26,Tampa Bay Lightning,New Jersey Devils,New Jersey Devils
2025-10-11,27,Florida Panthers,Ottawa Senators,Florida Panthers
2025-10-11,28,New York Islanders,Washington Capitals,Washington Capitals
2025-10-11,29,Pittsburgh Penguins,New York Rangers,New York Rangers
2025-10-11,30,Carolina Hurricanes,Philadelphia Flyers,Carolina Hurricanes
2025-10-11,31,Chicago Blackhawks,Montreal Canadiens,Montreal Canadiens
2025-10-11,32,Nashville Predators,Utah Mammoth,Utah Mammoth
2025-10-11,33,Minnesota Wild,Columbus Blue Jackets,Columbus Blue Jackets
2025-10-11,34,Colorado Avalanche,Dallas Stars,Dallas Stars
2025-10-11,35,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers
2025-10-11,36,San Jose Sharks,Anaheim Ducks,Anaheim Ducks
2025-10-11,37,Seattle Kraken,Vegas Golden Knights,Seattle Kraken
2025-10-12,38,New York Rangers,Washington Capitals,Washington Capitals
2025-10-13,39,Buffalo Sabres,Colorado Avalanche,Colorado Avalanche
2025-10-13,40,Boston Bruins,Tampa Bay Lightning,Tampa Bay Lightning
